Name,Type of Sell,Category,MRP,Best Price,Manufacturer
Neogadine SG Syrup,bottle of 300 ml Syrup,Vitamin and Supplements,215,179,
Neogadine Syrup,bottle of 450 ml Syrup,"Stomach Care , Vitamin and Supplements",287,254,Raptakos Brett & Co Ltd
Neogain Powder Condensed Milk,box of 200 gm Powder,"Fitness and Supplements , Vitamin and Supplements , Stomach Care",529,503,B V Bio Corp Pvt Ltd
Neokeed Baby Oil,bottle of 100 ml Oil,"Baby Care , Baby Skin Care",72.05,63,Remember India Medicos
Neokeed Soap,packet of 80 gm Soap,Bath Essentials,34.7,31,Remember India Medicos
Neolac Forte Tablet,strip of 10 tablets,"Pre & Pro Biotics , Stomach Care , Speciality Supplements",14.8,14,Kentreck Laboratories Pvt Ltd
Neolax Suspension,bottle of 170 ml Suspension,Stomach Care,60,56,Royal Labs
Neomust Forte  Tablet,strip of 10 tablets,"Vitamin and Supplements , Dr. Morepen",200,186,Morepen Laboratories Ltd
Neomust Tablet,strip of 10 tablets,"Dr. Morepen , Vitamin and Supplements",160,149,Morepen Laboratories Ltd
Neon Plus NH01 Diabocura Drop,bottle of 30 ml Drop,"Homeopathy , Diabetic Medicine , Homeopathy Medicines",399,299,Neon Homoeopathy
Neon Plus NH02 Thyrocura Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH08 Snorcura Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH09 Gascura Drop,bottle of 30 ml Drop,"Stomach Care , Homeopathy",299,224,Neon Homoeopathy
Neon Plus NH15 Pilecura Drop,bottle of 30 ml Drop,"Piles, Fissures & Fistula , Homeopathy",399,299,Neon Homoeopathy
Neon Plus NH22 Migracura Drop,bottle of 30 ml Drop,"Pain Relief , Homeopathy",299,224,Neon Homoeopathy
Neon Plus NH33 Asthmacura Drop,bottle of 30 ml Drop,Homeopathy,299,224,Neon Homoeopathy
Neon Plus NH34 Fevercura Drop,bottle of 30 ml Drop,"Fever , Homeopathy",249,187,Neon Laboratories Ltd
Neon Plus NH36 Sinuscura Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH37 Flucura Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH38 Coughcura Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH43 Mensipaincura Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH55 Joinpaincura Drop,bottle of 30 ml Drop,"Homeopathy , Pain Relief",249,187,Neon Homoeopathy
Neon Plus NH57 Multi-Vitcura Drop,bottle of 30 ml Drop,Homeopathy,299,224,Neon Homoeopathy
Neon Plus NH61 Immunoboost Drop,bottle of 30 ml Drop,Homeopathy,399,299,Neon Homoeopathy
Neon Plus NH63 Pcodcura Drop,bottle of 30 ml Drop,Homeopathy,299,224,Neon Homoeopathy
Neon Plus NH67 Bakpaincura Drop,bottle of 30 ml Drop,"Homeopathy , Pain Relief",249,187,Neon Homoeopathy
Neon Plus NH69 Romance-Fullon Drop,bottle of 30 ml Drop,Homeopathy,599,449,Neon Homoeopathy
Neonate Care Insta Dry Sheet Large Maroon,packet of 1 Sheet,Baby Care,599,599,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Large Navy Blue,packet of 1 Sheet,Baby Care,599,599,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Medium Maroon,packet of 1 Sheet,Baby Care,329,329,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Medium Navy Blue,packet of 1 Sheet,Baby Care,329,329,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Medium Pink,packet of 1 Sheet,Baby Care,329,322.42,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Small Maroon,packet of 1 Sheet,Baby Care,185,185,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Small Navy Blue,packet of 1 Sheet,Baby Care,185,185,Patroncare Pvt Ltd
Neonate Care Insta Dry Sheet Small Pink,packet of 1 Sheet,Baby Care,185,185,Patroncare Pvt Ltd
Neonate Care Pulse Oximeter Black,box of 1 Unit,"Pulse Oximeter , Oximeters & Pedometers , Heart Care , Respiratory Care",1990,1294,Patroncare Pvt Ltd
Neonate Care Pulse Oximeter Blue,box of 1 Unit,"Heart Care , Respiratory Care , Pulse Oximeter , Oximeters & Pedometers",1290,1049,Patroncare Pvt Ltd
Neonate Care Pulse Oximeter Grey,box of 1 Unit,"Pulse Oximeter , Oximeters & Pedometers , Heart Care , Respiratory Care",1990,1990,Patroncare Pvt Ltd
Neonate Care Pulse Oximeter Multicolor,box of 1 Unit,"Heart Care , Pulse Oximeter , Oximeters & Pedometers , Respiratory Care",1990,1990,Patroncare Pvt Ltd
Neonate Care Reusable Cloth Diaper with Diaper Inserts Blue,packet of 1 Diaper,"Diapers & Wipes , Baby Care",499,469,Patroncare Pvt Ltd
Neonate Care Reusable Cloth Diaper with Diaper Inserts Pink,packet of 1 Diaper,"Diapers & Wipes , Baby Care",499,459,Patroncare Pvt Ltd
Neopeptine Capsule,strip of 10 capsules,"Stomach Care , Ayurveda",67.5,66,Raptakos Brett & Co Ltd
Neopeptine D Syrup,bottle of 60 ml Syrup,Stomach Care,94,80,Raptakos Brett & Co Ltd
Neopeptine Drop,bottle of 15 ml Drop,"Stomach Care , Health Conditions , Ayurveda",101,99,Raptakos Brett & Co Ltd
Neopeptine Liquid,bottle of 100 ml Oral Liquid,Stomach Care,154,137,
Neopeptine Liquid,bottle of 60 ml Oral Liquid,Stomach Care,115,97,
Neosight DHA Syrup,bottle of 150 ml Syrup,"Vitamin and Supplements , Mental Wellness",290,276,Vyonics Health Care Pvt Ltd
Neosight-Plus Capsule,strip of 10 soft gelatin capsules,"Ear Care , Eye Care",250,218,Vyonics Health Care Pvt Ltd
Neoskin Cream,tube of 50 gm Cream,"Skin Care , Personal Care",510,487,Curatio Healthcare India Pvt Ltd
Neosmile Drop,packet of 10 ml Drop,Stomach Care,115,102,Mankind Pharma Ltd
Neostreta MD Tablet,box of 30 tablets,"Vitamin C , Speciality Supplements , Protein Supplements , Vitamin and Supplements",2700,2700,Aclaris Therapeutics Inc.
Neostreta Tablet,box of 30 tablets,"Vitamin and Supplements , Speciality Supplements , Vitamin C , Protein Supplements",2700,2700,Aclaris Therapeutics Inc.
Neoteri Baby Oral Drops,bottle of 5 ml Oral Drops,"Stomach Care , Pre & Pro Biotics , Baby Healthcare , Baby Care , Speciality Supplements",495,495,Eshbilords Pharmaceuticals
Neotomic Enema,bottle of 20 ml Liquid,Stomach Care,73.5,65,
Neotral Powder Orange,sachet of 20.5 gm Powder,"Vitamin and Supplements , Stomach Care",15,15,PSI India Pvt Ltd
Neoultra-CD Tablet,strip of 10 tablets,Vitamin and Supplements,380,331,Nuorik Healthcare
Neovel Soft Gelatin Capsule,box of 100 soft gelatin capsules,"Mental Wellness , Vitamin and Supplements",1380,1256,Andro Lifecare Pharma
Neowell Baby Diaper Small,packet of 10 diapers,"Diapers & Wipes , Baby Care",135,135,Eshbilords Pharmaceuticals
Neowell Baby Nasal Aspirator,packet of 1 Unit,"Baby Care , Baby Healthcare",225,225,Eshbilords Pharmaceuticals
Neowell Extra Soft Baby Wipes for Normal Skin,packet of 25 wipes,"Baby Care , Diapers & Wipes",82,82,Eshbilords Pharmaceuticals
Neowell Growth Oral Drops,bottle of 30 ml Oral Drops,"Amino Acids , Mineral Supplements , Vitamin and Supplements , Multivitamins , Vitamin C , Protein Supplements",95,95,Eshbilords Pharmaceuticals
Neowell New Born Baby Diaper Small,packet of 10 diapers,"Baby Care , Diapers & Wipes",125,125,Eshbilords Pharmaceuticals
Neowell Softaz Baby Massage Oil,bottle of 100 ml Oil,"Natural Hair & Skin Care , Baby Care , Ayurveda",160,160,Eskag Pharma Pvt Ltd
Neoximin Softgel Capsules,strip of 10 soft gelatin capsules,Vitamin and Supplements,79,67,Red Planet Pharmaceuticals
Neoziv Syrup,bottle of 200 ml Syrup,Fitness and Supplements,47.31,42,Kim Lab
Nepal's Yarshagumba Capsule,bottle of 25 capsules,"Sexual Wellness , Men Care",5000,3200,Dr Cure Pharmaceuticals India Pvt Ltd
Nephcute Tablet,strip of 10 tablets,Heart Care,698,628.2,Plasoron biotech
Nephro MV Capsule,strip of 10 capsules,"Vitamin and Supplements , Multivitamins",99,99,Medgenix Pharma India Pvt Ltd
Nephro MV Tablet,strip of 10 tablets,Vitamin and Supplements,99,87,Medgenix Pharma India Pvt Ltd
Nephro Q10 Soft Gelatin Capsule,packet of 10 soft gelatin capsules,Vitamin and Supplements,397,397,Calren Care Lifesciences Pvt Ltd
Nephrocaps Capsule,strip of 15 capsules,Fitness and Supplements,135.2,120,Torrent Pharmaceuticals Ltd
Nephrol Syrup,bottle of 450 ml Syrup,Kidney Care,290,276,Mahhaguru Navgrah Private Ltd
Nephrotop Capsule,strip of 10 capsules,Fitness and Supplements,58,58,Tenet Healthcare
Nephvit Tablet,strip of 10 tablets,Vitamin and Supplements,120,108,Celecon Pharmaceutical Pvt Ltd
Nepro HP Powder Vanilla Toffee,jar of 400 gm Powder,"Kidney Care , Nutritional Drinks , Abbott Nutrition , Vitamin and Supplements",1020,969,
Nepro Vanilla Toffee LP Powder,jar of 400 gm Powder,"Health Conditions , Vitamin and Supplements , Abbott Nutrition , Kidney Care",955,907,Abbott Healthcare Private Limited
Neptune BS 12 Battery Operated Outdoor Sanitizing Machine,box of 1 Unit,Covid Test & Prevention,4800,4800,Neptune Life Sciences Pvt Ltd
Neptunex -D3 Tablet,strip of 15 tablets,Vitamin and Supplements,88,75,Carmentis Health Care
Neptunex -K2 Tablet,strip of 10 tablets,"Bone, Joint & Muscle Care",188,160,Carmentis Health Care
Nermin Capsule,strip of 10 capsules,Vitamin and Supplements,160,136,Royal Research Lab Pvt Ltd
Neromet Tablet,strip of 10 tablets,Vitamin and Supplements,180,153,Gms Biomax Medicare Pvt Ltd
Neromet-Plus Tablet,strip of 10 tablets,Vitamin and Supplements,333,290,Gms Biomax Medicare Pvt Ltd
Nerv M Disintegrating Strip,packet of 10 disintegrating strips,Vitamin and Supplements,153.7,131,RPG Life Sciences Ltd
Nervana Micronized Grade Palmitoylethanolamide (PEA) 400mg Nerve & Muscle Pain Relief Supplement Capsule,box of 30 capsules,Pain Relief,779.97,702,Leewell Pharmaceuticals Pvt Ltd
Nerve Plus Capsule,strip of 10 capsules,"Mental Wellness , Vitamin and Supplements",198,178,Ultrachem Pharmaceuticals
Nerve-Q Tablet,strip of 10 tablets,Vitamin and Supplements,850,723,Vibcare Pharma Pvt Ltd
Nervebright Tablet,packet of 10 tablets,Vitamin and Supplements,160,152,Red Planet Pharmaceuticals
Nervecap B Capsule,strip of 10 capsules,Fitness and Supplements,185,172,Wonset Healthcare Pvt Ltd
Nervee CD3 Tablet,strip of 10 tablets,"Mental Wellness , Mineral Supplements , Vitamin and Supplements",249,224,Talent India 
Nervegates Tablet,strip of 10 tablets,Vitamin and Supplements,175,175,Lifepure Labs Pvt Ltd
Nerveheal Capsule,strip of 10 capsules,Mental Wellness,489,460,Cellgen Biopharma
Nerveklin Tablet,bottle of 30 tablets,Vitamin and Supplements,540,459,Klingen Life Sciences Pvt Ltd
Nervend Tablet,strip of 10 tablets,Vitamin and Supplements,119,113,Rhine Biogenics Pvt Ltd
Nervenext Tablet,box of 10 tablets,Vitamin and Supplements,140,123,Alixar Healthcare Pvt Ltd
Nervenext-CZ Tablet,strip of 10 tablets,"Vitamin and Supplements , Mineral Supplements",120,120,Alixar Healthcare Pvt Ltd
Nerveplus LC Capsule,strip of 10 capsules,Vitamin and Supplements,218,206,Ultrachem Pharmaceuticals
Nerverich Capsule,strip of 10 capsules,Mental Wellness,250,226,Indchemie Health Specialities Pvt Ltd
Nervheal Tablet,strip of 10 tablets,Fitness and Supplements,115,108,Vintage Labs Pvt Ltd
Nervic Syrup Sugar Free,bottle of 200 ml Syrup,Vitamin and Supplements,140,140,Unimarck Pharma India Ltd
Nervic-OD Capsule,strip of 10 capsules,Fitness and Supplements,132,120,Unimarck Pharma India Ltd
Nervic-Plus Tablet,strip of 15 tablets,Vitamin and Supplements,93,82,Unimarck Pharma India Ltd
Nervicharge D Tablet,strip of 10 tablets,"Women Care , Fitness and Supplements , Vitamin and Supplements",180,165,Nexina Life Sciences Pvt Ltd
Nervicin Capsule,strip of 10 capsules,Vitamin and Supplements,135,135,
Nerviday Soft Gelatin Capsule,strip of 10 soft gelatin capsules,Vitamin and Supplements,149,127,Aareen Healthcare Pvt Ltd
Nervifair Tablet,strip of 10 tablets,Vitamin and Supplements,320,272,Fair Ford Pharmaceuticals
Nervigard XL Capsule,strip of 10 capsules,Fitness and Supplements,149.9,143,Organic Laboratories
Nervigesic Plus Tablet,strip of 10 tablets,Vitamin and Supplements,61.9,61.9,Indian Pharmaceuticals
Nervigest Tablet,strip of 10 tablets,Ayurveda,99,99,Roman Healthcare Pvt Ltd
Nervihenz Tablet,strip of 10 tablets,Vitamin and Supplements,146.5,130,Metalis Lifesciences Pvt Ltd
Nervijen-D Capsule,strip of 10 capsules,"Fitness and Supplements , Vitamin and Supplements",248,219,Jenburkt Pharmaceuticals Ltd
Nervilon Tablet,strip of 10 tablets,Vitamin and Supplements,95,90,CGN Lifesciences Private Limited
Nervique Plus Capsule,strip of 10 capsules,Vitamin and Supplements,225,194.6,Resilient Cosmecueticals Pvt Ltd
Nerviroz 5G Soft Gelatin Capsule,strip of 10 soft gelatin capsules,Vitamin and Supplements,179.8,174,Santeforeva Healthcare Pvt Ltd
Nervisal Syrup,bottle of 200 ml Syrup,"Mental Wellness , Ayurveda",220,220,Salvus Pharma
Nervistal Plus Capsule,strip of 10 capsules,Fitness and Supplements,110,94,Stallion Laboratories Pvt Ltd
Nervistal Syrup,bottle of 200 ml Syrup,Vitamin and Supplements,120,115,
Nervistal Tablet,strip of 10 tablets,Vitamin and Supplements,90,79,
Nervistar Syrup,bottle of 200 ml Syrup,Vitamin and Supplements,160,160,Unistar Biotech Ltd
Nervistar-OD Capsule,strip of 10 capsules,Vitamin and Supplements,140,140,Unistar Biotech Ltd
Nervisun Tablet,strip of 10 tablets,Fitness and Supplements,145,136,Gerrysun Pharmaceuticals Pvt Ltd
Nervit Syrup,bottle of 200 ml Syrup,Fitness and Supplements,96.5,90,Kivi Labs Ltd
Nervital Tablet,strip of 10 tablets,Ayurveda,61.48,58,Paras Pharmaceuticals Ltd
Nervitone Syrup,bottle of 200 ml Syrup,"Vitamin and Supplements , Stomach Care",39.31,35,Alembic Pharmaceuticals Ltd
Nerviz-CD3 Tablet,strip of 10 tablets,Vitamin and Supplements,224,213,Diligence Pharma
Nervoba Ala Capsule,strip of 10 capsules,Vitamin and Supplements,139,132,Solace Biotech Ltd
Nervomin 1500mcg Tablet,strip of 10 tablets,Fitness and Supplements,95,84,Oxford Pharmaceuticals Pvt Ltd
Nervomin 500mcg Tablet,strip of 10 tablets,Fitness and Supplements,50,44,Oxford Pharmaceuticals Pvt Ltd
Nervon Forte Capsule,strip of 10 capsules,"Vitamin and Supplements , Fitness and Supplements",249.9,221,
Nervup Forte Capsule,strip of 10 capsules,Fitness and Supplements,184.29,163,Abbott
Nervz Capsule,strip of 10 capsules,Vitamin and Supplements,179,139,
Nervz D Tablet,strip of 10 tablets,Vitamin and Supplements,143,127,Intas Pharmaceuticals Ltd
Nervz-B Capsule,strip of 10 capsules,"Mental Wellness , Fitness and Supplements",193,164,Intas Pharmaceuticals Ltd
Nerwave Plus Tablet,strip of 10 tablets,"Mineral Supplements , Vitamin and Supplements , Vitamin C , Anti Oxidant Supplements , Immunity Boosters",210,191,Axonwave Pharmaceuticals Private Limited
Nerwita Gold Soft Gelatin Capsule,strip of 10 soft gelatin capsules,Vitamin and Supplements,220,213,Saksham Pharmaceuticals India Ltd
Nerwita Max Soft Gelatin Capsule,strip of 10 soft gelatin capsules,Vitamin and Supplements,300,273,Saksham Pharmaceuticals India Ltd
Nerzip Forte Capsule,strip of 10 capsules,Fitness and Supplements,450,437,Miraj Biotech
Nescal -D Soft Gelatin Capsule,strip of 10 soft gelatin capsules,Fitness and Supplements,160,136,
Nescal -FL Sachet,packet of 5 gm Granules,"Bone, Joint & Muscle Care",42,37,Fitwel Pharmaceuticals Private Limited
Nescal -K2 Soft Gelatin Capsule,strip of 10 soft gelatin capsules,Vitamin and Supplements,175,149,Fitwel Pharmaceuticals Private Limited
Nescal -MZ Syrup,bottle of 200 ml Syrup,Vitamin and Supplements,90,77,Fitwel Pharmaceuticals Private Limited
Nescal -MZ Tablet,strip of 10 tablets,"Vitamin and Supplements , Bone, Joint & Muscle Care",50,44,Fitwel Pharmaceuticals Private Limited
Nescal D Soft Gelatin Capsule,strip of 4 soft gelatin capsules,"Bone, Joint & Muscle Care",100,87,Fitwel Pharmaceuticals Private Limited
Nesfer Plus  Tablet,strip of 10 tablets,"Ayurveda , Vitamin and Supplements",28.5,27,Nestor Pharmaceuticals
Nesnase Tablet,strip of 10 tablets,Fitness and Supplements,28.22,28.22,Nestor Pharmaceuticals
Nestle Alfamino Powder,Tin of 400 gm Powder,Baby Care,3299,3299,Nestle India Ltd
Nestle Baby & ME Powder Vanilla,Tin of 400 gm Powder,"Baby Care , Nutritional Drinks , Women Care",480,465,Nestle India Ltd
Nestle Ceregrow Multigrain Cereal with Milk & Fruits from 3 to 6 Years New Pack Design,box of 300 gm Powder,"Nutritional Drinks , Baby Care",303,303,Nestle India Ltd
Nestle Ceregrow Multigrain Cereal with Milk & Fruits,box of 300 gm Powder,"Baby Care , Nutritional Drinks",297,283,Nestle India Ltd
Nestle Ceregrow NutriPuffs Banana & Orange,packet of 50 gm Powder,"Baby Care , Nutritional Drinks",89,89,Nestle India Ltd
Nestle Cerelac 3 Cereals with Milk From 8Months,Tin of 400 gm Powder,Baby Care,3279,3279,Nestle India Ltd
Nestle Cerelac Baby Cereal with Milk 10 Months+ Wheat Honey Dates,box of 300 gm Powder,Baby Care,278,278,Nestle India Ltd
Nestle Cerelac Baby Cereal with Milk 10 Months+ Wheat Rice Mix Fruit,box of 300 gm Powder,Baby Care,269,269,Nestle India Ltd
Nestle Cerelac Baby Cereal with Milk 10 Months+ Wheat-Rice Mixed Veg,box of 300 gm Powder,Baby Care,278,278,Nestle India Ltd
